osm_id,osm_type,name,highway,place,mean_dynamic_risk,max_dynamic_risk,high_or_worse_fraction,risk_category,priority
218462923,way,,primary,,0.012876681118671383,0.06256980448961258,0.0,LOW,LOW
218463258,way,,tertiary,,0.003175189477458064,0.015884673222899437,0.0,LOW,LOW
219189736,way,,unclassified,,,,0.0,NO DATA,NO DATA
221201347,way,,secondary,,0.022755958439250077,0.04309682548046112,0.0,LOW,LOW
221201870,way,Nalitabari-Sherpur Road,tertiary,,0.014743970707058907,0.047410812228918076,0.0,LOW,LOW
221202549,way,,primary,,0.003641904759985794,0.01194196380674839,0.0,LOW,LOW
221203039,way,Nalitabari-Sherpur Road,tertiary,,0.007467678448717509,0.016173630952835083,0.0,LOW,LOW
221218626,way,,unclassified,,0.013538920852754797,0.033298153430223465,0.0,LOW,LOW
221218632,way,,unclassified,,0.007605834477414776,0.015889771282672882,0.0,LOW,LOW
221222807,way,,tertiary,,0.005739264356504593,0.010359374806284904,0.0,LOW,LOW
221222808,way,,tertiary,,0.007407807379162737,0.030976567417383194,0.0,LOW,LOW
221222809,way,,tertiary,,0.008722074762252825,0.014920387417078018,0.0,LOW,LOW
221222819,way,,tertiary,,0.02079341933131218,0.06650093197822571,0.0,LOW,LOW
221225044,way,Islampur- Jamalpur Road,tertiary,,0.013614370354584284,0.031113917008042336,0.0,LOW,LOW
221226838,way,,unclassified,,0.0014354127342812717,0.004050730261951685,0.0,LOW,LOW
221233829,way,,secondary,,0.011142113079716052,0.017326638102531433,0.0,LOW,LOW
221319808,way,,primary,,0.010621742777792471,0.04369048401713371,0.0,LOW,LOW
221320165,way,,unclassified,,0.007041638218132513,0.013671725988388062,0.0,LOW,LOW
221328316,way,,tertiary,,0.009572220500558615,0.0169956237077713,0.0,LOW,LOW
221328418,way,,tertiary,,0.01008922467008233,0.03354116156697273,0.0,LOW,LOW
222138596,way,,secondary,,0.009828125492536597,0.01661904901266098,0.0,LOW,LOW
222138669,way,,unclassified,,0.0054211308847048455,0.018596725538372993,0.0,LOW,LOW
222138890,way,,primary,,0.014790391250114356,0.036393601447343826,0.0,LOW,LOW
222139379,way,Bakshigonj-Dewangonj Link Road,secondary,,0.011267007162262286,0.036688245832920074,0.0,LOW,LOW
222139519,way,,unclassified,,0.007062412864927735,0.013214285485446453,0.0,LOW,LOW
222303573,way,,tertiary,,0.007257374934852123,0.012606725096702576,0.0,LOW,LOW
222303682,way,,tertiary,,0.004255672900139221,0.011345911771059036,0.0,LOW,LOW
222979994,way,,trunk,,,,0.0,NO DATA,NO DATA
222980003,way,Beltola College Road,tertiary,,,,0.0,NO DATA,NO DATA
224011410,way,,trunk,,,,0.0,NO DATA,NO DATA
224011411,way,,trunk,,,,0.0,NO DATA,NO DATA
224011412,way,Basistha Chariali Flyover,trunk,,,,0.0,NO DATA,NO DATA
224011413,way,,trunk,,,,0.0,NO DATA,NO DATA
224011414,way,,trunk,,,,0.0,NO DATA,NO DATA
224011415,way,,trunk,,,,0.0,NO DATA,NO DATA
224011416,way,,trunk,,,,0.0,NO DATA,NO DATA
224011418,way,Flyover,trunk,,,,0.0,NO DATA,NO DATA
224011420,way,,tertiary,,,,0.0,NO DATA,NO DATA
224011421,way,,tertiary,,,,0.0,NO DATA,NO DATA
224011425,way,,tertiary,,,,0.0,NO DATA,NO DATA
224011427,way,,tertiary,,,,0.0,NO DATA,NO DATA
224011428,way,,tertiary,,,,0.0,NO DATA,NO DATA
224011429,way,,tertiary,,,,0.0,NO DATA,NO DATA
226284064,way,,trunk,,,,0.0,NO DATA,NO DATA
226284066,way,,tertiary,,,,0.0,NO DATA,NO DATA
227893431,way,,tertiary,,,,0.0,NO DATA,NO DATA
227908742,way,,tertiary,,,,0.0,NO DATA,NO DATA
227908743,way,,primary,,,,0.0,NO DATA,NO DATA
227908744,way,,primary,,,,0.0,NO DATA,NO DATA
227908745,way,,primary,,,,0.0,NO DATA,NO DATA
227908746,way,,primary,,,,0.0,NO DATA,NO DATA
227915798,way,,primary,,0.05633494231317725,0.13238994777202606,0.0,LOW,LOW
227915799,way,,primary,,0.015789495160182316,0.01879357360303402,0.0,LOW,LOW
228275645,way,,trunk,,,,0.0,NO DATA,NO DATA
228275651,way,,trunk,,,,0.0,NO DATA,NO DATA
228865460,way,কুড়িগ্রাম - নাগেশ্বরী - ভুরুঙ্গামারী সড়ক,trunk,,,,0.0,NO DATA,NO DATA
228880401,way,,trunk,,,,0.0,NO DATA,NO DATA
228880402,way,,trunk,,,,0.0,NO DATA,NO DATA
228880403,way,,trunk,,,,0.0,NO DATA,NO DATA
228880404,way,,trunk,,,,0.0,NO DATA,NO DATA
228880405,way,,tertiary,,,,0.0,NO DATA,NO DATA
228880406,way,,tertiary,,,,0.0,NO DATA,NO DATA
229795707,way,,tertiary,,,,0.0,NO DATA,NO DATA
