osm_id,osm_type,name,highway,place,dynamic_risk,risk_category,priority
13365850526,node,বঙ্গসোনাহাট,,village,,NO DATA,NO DATA
13371520275,node,সাহেবের আলগা,,village,,NO DATA,NO DATA
13371520301,node,বেগমগঞ্জ,,village,,NO DATA,NO DATA
13372445147,node,কোদালকাটি,,village,0.009468750096857548,LOW,LOW
13372445148,node,মোহনগঞ্জ,,village,0.014061011373996735,LOW,LOW
13373182917,node,চিলমারী ইউনিয়ন,,village,0.02145238034427166,LOW,LOW
13373182918,node,অষ্টমির চর,,village,0.027874257415533066,LOW,LOW
13374994589,node,চর শৌলমারী,,village,,NO DATA,NO DATA
13375008137,node,বন্দবেড়,,village,0.004399553406983614,LOW,LOW
13377656514,node,পাঁচগাছী,,village,,NO DATA,NO DATA
13377656515,node,যাত্রাপুর,,village,,NO DATA,NO DATA
13379261064,node,কেদার,,village,,NO DATA,NO DATA
13379540798,node,কচাকাটা,,village,,NO DATA,NO DATA
13379542200,node,নুনখাওয়া,,village,,NO DATA,NO DATA
13379542240,node,কালীগঞ্জ,,village,,NO DATA,NO DATA
13550836663,node,Sakwa,,village,0.07124360650777817,LOW,LOW
13550983409,node,Muallian,,village,0.13606642186641693,LOW,LOW
13568394638,node,Tlangmoi,,village,0.02420465461909771,LOW,LOW
13568394643,node,Tangnub,,village,0.31456223130226135,MODERATE,LOW
13568394644,node,Lelad,,village,0.07171151041984558,LOW,LOW
13568394653,node,Tongseng,,village,0.08015988767147064,LOW,LOW
13568394662,node,Umlawang,,village,0.07063467055559158,LOW,LOW
13572972983,node,Thlang Moi,,village,0.10371267795562744,LOW,LOW
610725568,way,Balijuri Gram,,village,0.030470209196209908,LOW,LOW
610725569,way,Menjargaon Gram,,village,0.030555367469787598,LOW,LOW
610725588,way,Ramnogor Gram,,village,0.020152786746621132,LOW,LOW
744684110,way,Sohryngkham,,village,0.5147437453269958,HIGH,HIGH
744688587,way,Mawlyngngad,,village,0.6108911037445068,HIGH,HIGH
744688588,way,Umphyrnai,,village,0.3332288861274719,MODERATE,LOW
882027620,way,Mirza,,village,,NO DATA,NO DATA
882027621,way,VIP Area,,village,,NO DATA,NO DATA
1082600177,way,Rasong,,village,0.6065714955329895,HIGH,HIGH
1326216261,way,Daribokgre,,village,0.3128933906555176,MODERATE,LOW
