date,rainfall_mean_mm,rainfall_max_mm,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,year
2018-04-29,10.64567,23.638206,10.64567,11.929672837257385,17.86466211080551,76.02562946081161,175.26532208919525,2018
2018-04-30,5.3174577,16.91064,5.3174577,17.247130513191223,22.028537452220917,79.25873583555222,169.36929976940155,2018
2018-05-01,11.757228,35.732517,11.757228,27.72035551071167,31.488651931285858,90.70583546161652,180.61513859033585,2018
2018-05-02,12.001378,35.758938,12.001378,29.076063632965088,42.772462129592896,100.25086390972137,192.19268465042114,2018
2018-05-03,4.7414827,19.790813,4.7414827,28.500088691711426,45.74721920490265,104.50587981939316,196.93416738510132,2018
2018-05-04,2.5658348,8.273531,2.5658348,19.308695554733276,48.31305396556854,102.12394732236862,198.08542370796204,2018
2018-05-05,14.27973,50.39533,14.27973,21.587047338485718,61.308780908584595,108.57278364896774,212.36515355110168,2018
2018-05-06,19.345263,92.062126,19.345263,36.19082713127136,70.00837349891663,97.8364765048027,223.35231614112854,2018
2018-05-07,9.624666,24.560677,9.624666,43.24965858459473,74.31558203697205,97.4977018237114,232.82846614718437,2018
2018-05-08,17.252935,50.219807,17.252935,46.22286415100098,79.8112895488739,113.59705489873886,243.46297618746758,2018
2018-05-09,18.044813,58.256626,18.044813,44.922414779663086,85.85472464561462,129.3447546362877,261.106114089489,2018
2018-05-10,26.727634,52.93528,26.727634,62.02538299560547,107.84087634086609,155.35482120513916,274.86007183790207,2018
2018-05-11,13.364165,61.066162,13.364165,58.13661289215088,118.6392068862915,166.95226085186005,279.7641102671623,2018
2018-05-12,1.5989748,5.4248996,1.5989748,41.69077455997467,105.95845186710358,168.55123567581177,271.25069266557693,2018
2018-05-13,2.534309,15.38568,2.534309,17.497449040412903,89.14749825000763,169.80154168605804,253.2624700665474,2018
2018-05-14,0.7236905,6.8050704,0.7236905,4.856974244117737,80.24652254581451,159.8795622587204,235.905191719532,2018
2018-05-15,0.41993606,3.4902089,0.41993606,3.677935481071472,63.41352319717407,154.98204064369202,234.24077647924423,2018
2018-05-16,10.571326,23.732214,10.571326,11.714952826499939,55.94003629684448,153.7961390018463,244.50197446346283,2018
2018-05-17,1.3221562,10.56843,1.3221562,12.313418507575989,30.534558057785034,143.1169171333313,243.36778104305267,2018
2018-05-18,1.7311504,9.963104,1.7311504,13.624632835388184,18.901543140411377,140.10658478736877,244.61246460676193,2018
2018-05-19,3.6918242,11.418942,3.6918242,6.745130777359009,20.99439251422882,141.23257422447205,243.35652154684067,2018
2018-05-20,7.4967284,31.20825,7.4967284,12.919703006744385,25.956812024116516,134.44957280158997,243.0223564505577,2018
2018-05-21,5.663661,24.64553,5.663661,16.852213621139526,30.896782517433167,120.76797127723694,218.60444778203964,2018
2018-05-22,4.1424227,27.96515,4.1424227,17.302812099456787,34.619269132614136,115.2857277393341,212.7834295630455,2018
2018-05-23,10.92791,56.28286,10.92791,20.733993530273438,34.975852727890015,108.96070218086243,222.5577570796013,2018
2018-05-24,4.704443,19.53422,4.704443,19.774775505065918,38.358139514923096,95.62033200263977,224.96508663892746,2018
2018-05-25,53.79121,230.13278,53.79121,69.42356300354004,90.41819930076599,122.68390774726868,278.03872895240784,2018
2018-05-26,27.660479,79.66571,27.660479,86.15613174438477,114.38685369491577,136.9802210330963,303.93248188495636,2018
2018-05-27,34.358437,131.58139,34.358437,115.81012535095215,141.24856185913086,169.73968279361725,338.290918469429,2018
2018-05-28,25.489038,73.32721,25.489038,87.50795364379883,161.0739393234253,192.6944123506546,362.49595403671265,2018
2018-05-29,8.236837,26.10234,8.236837,68.08431243896484,165.16835403442383,200.20755922794342,360.0871214866638,2018
2018-05-30,0.040049344,1.3121299,0.040049344,33.76592519879341,154.28049352765083,199.8276725113392,354.8097131550312,2018
2018-05-31,5.1725564,25.977663,5.1725564,13.449443131685257,154.74860695004463,194.42890265583992,348.22504165768623,2018
2018-06-01,4.3277473,34.756634,4.3277473,9.540353089571,105.28514412045479,197.43449380993843,340.55141094326973,2018
2018-06-02,4.150888,40.432087,4.150888,13.651191711425781,81.77555349469185,199.85423138737679,339.96081617474556,2018
2018-06-03,1.4286772,5.23038,1.4286772,9.907312512397766,48.84579411149025,197.59108439087868,338.8236586153507,2018
2018-06-04,2.3978107,14.571597,2.3978107,7.977375864982605,25.754566341638565,192.49216666817665,326.9417394697666,2018
2018-06-05,4.1743283,18.031878,4.1743283,8.000816226005554,21.69205728173256,191.0028339922428,311.77080526947975,2018
2018-06-06,16.00143,59.259415,16.00143,22.573569536209106,37.653438448905945,202.861841827631,318.1475695669651,2018
