elevation,slope,aspect,curvature,landcover_class,latitude,longitude,district,initiation_year,triggering,label
1221.6097412109375,25.73365592956543,286.3556823730469,0.0032077389769256115,10,25.619861,91.875111,East Khasi Hills,0,Rainfall,1
1292.2646484375,23.5820255279541,327.7974853515625,-0.007567367050796747,10,25.614537,91.87005,East Khasi Hills,0,Rainfall,1
1292.350341796875,20.653703689575195,321.08929443359375,-0.006313118617981672,10,25.614112,91.869632,East Khasi Hills,0,Rainfall,1
1285.4835205078125,28.246074676513672,341.757080078125,-0.004840690642595291,10,25.613917,91.868639,East Khasi Hills,0,Rainfall,1
1279.6907958984375,27.631071090698242,345.6622619628906,-0.005531410686671734,10,25.614664,91.870266,East Khasi Hills,0,Rainfall,1
1279.670654296875,28.429088592529297,348.43817138671875,-0.004113228525966406,10,25.614657,91.870692,East Khasi Hills,0,Rainfall,1
1291.3907470703125,29.14927864074707,342.72332763671875,-0.004972206428647041,10,25.614807,91.871158,East Khasi Hills,0,Rainfall,1
1273.2811279296875,30.92462158203125,343.9500427246094,0.003449541050940752,10,25.614912,91.871711,East Khasi Hills,0,Rainfall,1
1255.9571533203125,29.327430725097656,277.26348876953125,0.0005959534901194274,10,25.617787,91.872745,East Khasi Hills,0,Rainfall,1
1280.983154296875,27.710546493530273,321.9873962402344,0.00909885112196207,10,25.615134,91.872232,East Khasi Hills,0,Rainfall,1
1310.5391845703125,17.892179489135742,321.4708251953125,0.007437824737280607,10,25.613583,91.871778,East Khasi Hills,0,Rainfall,1
1330.8753662109375,21.222517013549805,308.9306640625,-0.002255259780213237,10,25.612528,91.870861,East Khasi Hills,0,Rainfall,1
1294.21630859375,15.472225189208984,203.75405883789062,0.0015060920268297195,40,25.599762,91.860814,East Khasi Hills,0,Rainfall,1
1287.56640625,26.14337921142578,174.4656982421875,0.000902839470654726,30,25.599815,91.860028,East Khasi Hills,0,Rainfall,1
1278.339111328125,21.193296432495117,179.5330352783203,-0.008183603174984455,30,25.599096,91.859289,East Khasi Hills,0,Rainfall,1
1241.5550537109375,31.078670501708984,345.54132080078125,0.00835146103054285,10,25.60339,91.856222,East Khasi Hills,0,Rainfall,1
1184.8741455078125,28.8625545501709,348.984619140625,0.004168019164353609,10,25.606193,91.856276,East Khasi Hills,0,Rainfall,1
1154.5848388671875,28.744155883789062,353.20941162109375,-0.0037411958910524845,10,25.641388,91.854928,East Khasi Hills,0,Rainfall,1
1103.544189453125,23.084774017333984,16.673311233520508,0.0001869200641522184,10,25.64213,91.851852,East Khasi Hills,0,Rainfall,1
1105.0888671875,26.552845001220703,3.9812734127044678,0.00139658956322819,10,25.642198,91.851055,East Khasi Hills,0,Rainfall,1
1202.881591796875,31.811214447021484,339.5679931640625,-0.001853744499385357,30,25.640264,91.848588,East Khasi Hills,0,Rainfall,1
1271.7965087890625,24.52716636657715,338.39141845703125,-0.004121811129152775,10,25.637026,91.844464,East Khasi Hills,2015,Rainfall,1
1247.39306640625,26.350078582763672,346.14691162109375,0.002935914322733879,10,25.637274,91.844234,East Khasi Hills,0,Rainfall,1
1259.2100830078125,22.1357479095459,352.0992126464844,-0.0011865105479955673,30,25.636913,91.843235,East Khasi Hills,0,Rainfall,1
1427.513916015625,19.770727157592773,137.4626007080078,0.000278318184427917,30,25.626794,91.829725,East Khasi Hills,0,Rainfall,1
879.4617309570312,17.631317138671875,231.6558380126953,0.002783498726785183,30,25.708426,91.896406,East Khasi Hills,0,Rainfall,1
828.1271362304688,15.671077728271484,205.03927612304688,0.0016998788341879845,30,25.711032,91.891803,East Khasi Hills,0,Rainfall,1
748.0713500976562,8.318252563476562,124.43428039550781,-0.0005059525137767196,10,25.760611,91.88225,Ri-Bhoi,2015,Heavy rainfall,1
769.2947998046875,9.438318252563477,335.05255126953125,-0.004234045743942261,10,25.759278,91.882861,Ri-Bhoi,2015,Heavy rainfall,1
731.0756225585938,10.539203643798828,257.13421630859375,-0.0027286563999950886,10,25.787,91.876583,Ri-Bhoi,2015,Heavy rainfall,1
543.9428100585938,17.76513671875,123.51587677001953,0.003040861804038286,10,25.865894,91.880278,Ri-Bhoi,2015,Heavy rainfall,1
590.7191162109375,4.307868480682373,235.52847290039062,0.002091059461236,10,25.853111,91.881583,Ri-Bhoi,2015,Heavy rainfall,1
597.04345703125,10.629328727722168,271.2140197753906,-0.0016442065825685859,10,25.852222,91.881361,Ri-Bhoi,2015,Heavy rainfall,1
539.598876953125,17.91133689880371,336.3670349121094,0.0029029916040599346,10,25.951106,91.968889,Ri-Bhoi,2015,Heavy rainfall,1
309.7765197753906,19.860576629638672,312.95159912109375,0.001753402641043067,10,25.997033,91.86235,Ri-Bhoi,2015,Heavy rainfall,1
298.79241943359375,19.5025634765625,218.3994140625,2.8447946533560753e-05,10,25.998847,91.863883,Ri-Bhoi,2015,Heavy rainfall,1
403.4481506347656,9.304689407348633,309.92327880859375,-0.002003875095397234,10,26.00294,91.86692,Ri-Bhoi,0,,1
338.6139831542969,15.64477252960205,128.467041015625,-0.0015960799064487219,10,25.97256,91.86242,Ri-Bhoi,0,,1
297.7703552246094,19.35671615600586,127.68136596679688,0.005110209807753563,10,25.979244,91.860578,Ri-Bhoi,2012,Heavy rainfall,1
298.78973388671875,22.282190322875977,125.73656463623047,0.005317208357155323,10,25.978803,91.860278,Ri-Bhoi,2015,Heavy rainfall,1
